sentence	ref_anim	ref_case	 distance	conflict	num	outcome
# text = Ne kv?li stanovisku ?esk? vl?dy - ta m? svat? pr?vo m?t jin? n?zor ne? poslanci, ani kv?li panu Klausovi - p??slu?nost k politick? stran? p?ece nezavazuje k ?pln? stejn?mu n?zoru.	a	Gen	1	no	7	1
# text = A ta mu dala tvrd? za vyu?enou.	i	Instr	1	no	2	1
# text = Obec m?la mo?nost pachtovat honitbu dra?bou a tu dostal ten, kdo dal nejv?c.	i	Akk	0	yes	8	1
"# text = Ten s?zel, zveleboval pozemky, komoroval koroptve, l?hl ba?anty, krmil v zim?, prohrnoval sn?h na ozimech, hl?dal rev?ry p?ed nejv?t?? ?kodnou - toulav?mi psy a ko?kami;"	a	Nom	1	no	1	1
# text = Ty se utr?cej? zde na Zemi.	i	Nom	1	yes	1	1
# text = ten se n?m toti? ?asem uk??e s?m.	i	Akk	1	no	1	1
# text = C?lem je restrukturalizace ekonomiky a ta m? obrovsk? mno?stv? forem - bankrot je v?ak formou extr?mn?.	i	Gen	1	yes	6	1
# text = A ty jsou - jak zn?mo - mal?, co? znamen?, ?e soudy projednaj? do m?s?ce p?ibli?n? 10 - 15 pod?n? v??itel? na konkurz.	i	Instr	1	yes	2	1
# text = Co se t??e velk?ch bank, tak ty jsou zat?m z rizikov?ho kola venku.	i	Gen	1	no	8	1
"# text = Ty jeho cenu v podstat? nemohou ovlivnit, zato ten ""druh? vzadu"" ano, a t?m je Ministerstvo financ? ?R."	i	Nom	1	no	1	1
# text = Ta d?lala v prosinci lo?sk?ho roku u naturalu 9390 K?, zat?mco letos v lednu 10055 K?.	i	Akk	1	yes	1	1
# text = Ta byla v posledn?m lo?sk?m m?s?ci 4045.70 K? a v lednu roku 1994 pak 4129.65 K?.	i	Nom	1	yes	1	1
# text = Ti odhaduj?, ?e po uvoln?n? cen nebude n?sledovat jejich okam?it? vzestup.	a	Instr	1	no	1	1
# text = Ty jsou nejv?t?? firemn? devizou p?i konkurzn?ch ??zen?ch, kter?ch se firma ??astn? hlavn? na severn? Morav?.	i	Akk	1	no	1	1
# text = Ti mn? pom?haj? ch?pat ?ivot v cel? jeho ???i.	a	Nom	1	no	1	1
# text = Ti zaplat? v sezon? za jeden den s polopenz? kolem 40 DEM.	a	Nom	1	yes	1	1
# text = Zazn?l n?zor, ?e ud?lat si byznys pl?n na p?t let je dobr? v?c, ale je dobr? rozpracovat si ho i na jednotliv? m?s?ce, nebo? ten odhal? probl?my, s nimi? se bude podnikatel ka?dodenn? pot?kat.	i	Akk	3	no	28	1
# text = Ten zaznamen?v? ka?d? n?kup prost?ednictv?m karty.	i	Lok	1	no	1	1
# text = Ti v?ak ?dajn? nesplnili jednu z podm?nek sout??e.	a	Dat	1	no	1	1
# text = Ten m? v nejbli??? dob? p??pad rozhodnout.	i	Akk	1	no	1	1
# text = Ten byl p?vodn? postaven na principu transformace firmy do akciov? spole?nosti a po??tal se zahrani?n? kapit?lovou ??ast?.	i	Nom	1	no	1	1
# text = Na stoly d?v?m pap?rov? krajkov? ubrusy a ty chr?n?m ?ir?m plexisklem uchycen?m kovov?mi ?chytkami.	i	Akk	0	yes	8	1
# text = Ten tla?il na dal?? zm?ny.	a	Dat	1	no	1	1
# text = Ti v?taj? i ?ast? j?dla ze zv??iny nebo j?dla dom?c?ho typu.	a	Gen	1	no	1	1
# text = Ty jsou nejv?t?? firemn? dev?zou p?i konkurzn?ch ??zen?ch, kter?ch se firma ??astn? hlavn? na severn? Morav?.	i	Akk	1	no	1	1
# text = Tu za??n?me pomalu br?t jako samoz?ejmost.	i	Nom	0	no	1	1
# text = Nyn? - po uplynut? ?trn?cti dn? a dvou n?v?t?v?ch - vid?m, ?e ani ten nen? nejlep?? a nev?nuje se mi tak, jak bych pot?eboval.	a	Akk	1	no	15	1
# text = Co se t??e finan?n?ch prost?edk? od Sv?tov? banky, Evropsk? investi?n? banky a Evropsk? banky pro obnovu a rozvoj, tak ty n?m budou uvoln?ny teprve letos na ja?e.	i	Gen	1	no	22	1
"# text = Podle sd?len? ministra zem?d?lstv? Luxe bylo je?t? pro v?voz dr?be?e ur?eno na americk? stran? dal??ch p?t milion? dolar?, ale ""ty jsou pro ?eskou republiku nep?ijateln?"", sd?lil n?? ministr."	i	Akk	1	no	22	1
# text = Ty tvo?? v ro?n?m obratu 200 milion? a? polovinu.	i	Lok	1	no	1	1
# text = Pokud Formed nespln? podm?nky smlouvy v rychlosti opravy, po?le z?kazn?kovi dobropis, a ten m? opravu zdarma.	a	Dat	1	no	15	1
# text = Dnes je tak? mnohem men?? ?ance, ?e by se n?co zaj?mav?ho dalo objevit t?eba na venkov?, proto?e ten systematicky obj??d? ?ada p?ekupn?k?.	i	Lok	0	no	20	1
# text = Ta byla jak?msi slabik??em pro budouc? podnikatele.	i	Akk	1	no	1	1
# text = Ta sice zat?m neexistuje.	i	Nom	1	no	1	1
# text = * nenechat se nal?kat na mal? d?rek p?i objedn?vce zbo??, proto?e ten jste si ur?it? zaplatili,	i	Akk	0	no	13	1
# text = Nejnal?hav?ji to vystupuje do pop?ed? u byt? ve vlastnictv? obc?, proto?e ty spravuj? asi ?tvrtinu bytov?ho fondu ?esk? republiky a n?kter? maj? - p?edev??m z finan?n?ch d?vod? - z?jem ??st sv?ch byt? zpen??it.	i	Gen	1	no	13	1
# text = Ten prozkoumal kolekci z hlediska mal??sk?ho rukopisu a do?el k z?v?ru, ?e ji nenamaloval van Gogh.	a	Akk	2	no	1	1
# text = Ta po nevyhnuteln? restrikci v dob? d?len? st?tu a m?ny p?e?la ve 2. pololet? naopak do m?rn? expanzivn? polohy.	i	Instr	1	no	1	1
# text = Ten by se m?l v leto?n?m roce zvy?ovat tempem 2 - -3 % a v p???t?m roce tempem asi 3 - 4 %.	i	Gen	1	no	1	1
# text = Ke schv?len? tohoto zv??en? jsou pot?ebn? dv? t?etiny hlas? akcion??? - a ty st?t d?ky sv?m 70 % akci? m?.	i	Nom	0	no	13	1
# text = Ten m? hlavn? uhradit rozvojov? program spole?nosti, kter? m? c?l p?ibli?n? do roku 2000 zdvojn?sobit po?et telefonn?ch stanic a rozvinout telekomunika?n? s?t? na b?zi digit?ln? technologie.	i	Nom	1	yes	1	1
# text = P??zniv? by m?ly b?t tomu naklon?ny i zdravotn? poji??ovny, nebo? ty by rovn?? uspo?ily za cestovn?, konstatoval Petr W?zner.	i	Nom	1	no	12	1
# text = g) Krom? bytu m? ?len dru?stva n?rok na vypo??dac? pod?l (ten se stanov? jako pod?l na ve?ker?m majetku dru?stva v?etn? takzvan?ho ned?liteln?ho fondu a ?lenovi mus? b?t vyrovn?n nejpozd?ji do 5 let).	i	Akk	1	no	13	1
# text = Ten mus? p?ijmout n?le?it? opat?en?.	a	Instr	1	yes	1	1
# text = Ten byl krut?.	i	Nom	1	no	1	1
# text = Ta je m?m jedin?m bankovn?m ?stavem.	i	Gen	1	no	1	1
# text = Ten ukl?d? mo?nosti ur?it?ch korekc? da?ov?ch norem.	i	Nom	1	no	1	1
# text = Ty uk?zaly pot?ebu novelizovat n?kter? ustanoven? z?kona a formulovat tak n?kter? ustanoven? z?kona jednozna?n?ji.	i	Nom	1	no	1	1
# text = Ta umo??uje poslech 30 hudebn?ch ??nr?, kter? jsou vys?l?ny soub??n? cel?ch 24 hodin z USA.	i	Akk	1	no	1	1
# text = Ti maj? tendence p?esunout se do oblast? v?roby, obchodu a slu?eb.	a	Gen	1	no	1	1
# text = Ten ?in? 18 procent.	i	Gen	1	no	1	1
# text = Stejn? jako on se o tuto pr?ci zaj?mali i dal?? jeho krajan?.	a	Nom	7	no	3	0
# text = On osobn? j? p?eje p??jemn? a u?ite?n? pobyt v Gaze.	a	Nom	5	no	1	0
# text = I oni se ale mohou vyk?zat jen n?hodn?mi ?sp?chy v podob? zlat?ch minc? a klenot?, jejich? hodnota se ale s velikost? o?ek?van?ho n?lezu ned? srovnat.	a	Gen	4	no	2	0
